시간,공시대상회사,보고서명,제출인,접수일자,비고
18:17, 테라셈,불성실공시법인지정예고  (공시변경),코스닥시장본부,2020.01.02, 
18:15, 포티스,[기재정정]주요사항보고서(유상증자결정)  ,포티스,2020.01.03,
18:14, 포티스,[기재정정]주주총회소집결의  ,포티스,2020.01.02, 
18:13, 포티스,투자판단관련주요경영사항  (경영지배인 선임의 건),포티스,2020.01.02, 
18:02, 원익QnC,타법인주식및출자증권취득결정(종속회사의주요경영사항)  ,원익QnC,2020.01.02,  
18:01, 디에스티,[기재정정]전환청구권행사  (제6회차 및 제7회차),디에스티,2020.01.02, 
18:00, 원익QnC,타법인주식및출자증권취득결정(종속회사의주요경영사항)  ,원익QnC,2020.01.02,  
17:58, 원익QnC,타법인주식및출자증권취득결정(종속회사의주요경영사항)  ,원익QnC,2020.01.02,  
17:56, 원익QnC,타법인주식및출자증권처분결정(종속회사의주요경영사항)  ,원익QnC,2020.01.02, 
17:52, 대양금속,최대주주등소유주식변동신고서  ,대양금속,2020.01.02,  
17:50, NHN한국사이버결제,[기재정정]현금ㆍ현물배당결정  ,NHN한국사이버결제,2020.01.02, 
17:43, 한국테크놀로지,[기재정정]주요사항보고서(타법인주식및출자증권양도결정)  ,한국테크놀로지,2020.01.02,
17:43, 키위미디어그룹,[기재정정]분기보고서 (2019.09)  ,키위미디어그룹,2020.01.02,
17:41, 대동하이렉스,감사보고서 (2019.09)  ,삼정회계법인,2020.01.02,
17:41, 루첸파크,감사보고서 (2018.12)  ,안진회계법인,2020.01.02,
17:41, 게티이미지코리아,특수관계인과의예ㆍ적금거래  ,게티이미지코리아,2020.01.02, 
17:40, 코스맥스비티아이,[기재정정]주요사항보고서(자기주식취득결정)  ,코스맥스비티아이,2020.01.02,
17:40, 웨스트락팩캐징솔루션코리아,감사보고서 (2019.09)  ,한영회계법인,2020.01.02,
17:40, 콜마비앤에이치,대표이사변경  ,콜마비앤에이치,2020.01.02, 
17:38, 아이엠텍,[기재정정]주주총회소집결의  ,아이엠텍,2020.01.02, 
17:37, 강림중공업,[첨부정정]감사보고서 (2018.12)  ,선일회계법인,2020.01.02,
17:35, 삼성증권,최대주주등소유주식변동신고서  ,삼성증권,2020.01.02, 
17:34, 에스제이케이,[기재정정]참고서류  ,에스제이케이,2020.01.02,
17:34, 보령제약,[첨부추가]주요사항보고서(자기주식취득신탁계약체결결정)  ,보령제약,2014.01.08, 
17:32, 골드퍼시픽,전환가액의조정  (제22회차),골드퍼시픽,2020.01.02, 
17:32, 에스제이케이,[기재정정]주주총회소집공고  ,에스제이케이,2020.01.02,
17:30, 씨앤아이레저산업,임원의변동  ,씨앤아이레저산업,2020.01.02, 
17:29, 한화생명,[기재정정]특수관계인에대한부동산임대  ,한화생명,2020.01.02, 
17:29, 한화케미칼,최대주주등소유주식변동신고서  ,한화케미칼,2020.01.02, 
17:29, 키위미디어그룹,[기재정정]반기보고서 (2019.06)  ,키위미디어그룹,2020.01.02,
17:27, 에스제이케이,[기재정정]주주총회소집결의  ,에스제이케이,2020.01.02, 
17:25, 서울전자통신,대표이사변경  ,서울전자통신,2020.01.02, 
17:25, 화성산업,최대주주등소유주식변동신고서  ,화성산업,2020.01.02, 
17:23, 신한카드이천십구의삼유동화전문유한회사,자산양도등의등록신청서  ,한국씨티은행,2019.12.17,
17:23, 우방,최대주주등의주식보유변동  ,우방,2020.01.02, 
17:23, 화이브라더스코리아,불성실공시법인지정예고  (공시변경),코스닥시장본부,2020.01.02, 
17:23, 신한카드이천십구의삼유동화전문유한회사,자산양도등의등록신청서  ,신한카드,2019.12.17,
17:22, 한진,합병등종료보고서  (합병),한진,2020.01.02,
17:21, 한화,[기재정정]특수관계인과의내부거래  ,한화,2020.01.02, 
17:21, 한화수성스팩,주권매매거래정지  (상장폐지사유 발생),코스닥시장본부,2020.01.02, 
17:20, 한화케미칼,임시주주총회결과  ,한화케미칼,2020.01.02, 
17:20, 풍산홀딩스,해산사유발생(자회사의 주요경영사항)  ,풍산홀딩스,2020.01.02, 
17:18, 코오롱글로벌,최대주주등소유주식변동신고서  ,코오롱글로벌,2020.01.02, 
17:16, 한화케미칼,대표이사(대표집행임원)변경(안내공시)  ,한화케미칼,2020.01.02, 
17:15, 연암,감사보고서 (2019.09)  ,신한회계법인,2020.01.02,
17:15, 라이트론,회생절차종결결정  ,라이트론,2020.01.02, 
17:14, 유니드글로벌상사,[기재정정]타인에대한채무보증결정  ,유니드글로벌상사,2020.01.02, 
17:12, 에이비프로바이오,[기재정정]전환가액의조정  (제14회차),에이비프로바이오,2020.01.02, 
17:12, 에이비프로바이오,[기재정정]타법인주식및출자증권취득결정(종속회사의주요경영사항)  ,에이비프로바이오,2020.01.02, 
17:11, 바른테크놀로지,대표이사변경  ,바른테크놀로지,2020.01.02, 
17:11, 소프트캠프,기타경영사항(자율공시)  (상환전환우선주의 보통주 전환청구),소프트캠프,2020.01.02, 
17:11, 지니틱스,대표이사변경  ,지니틱스,2020.01.02, 
17:10, 동아에스티,최대주주등소유주식변동신고서  ,동아에스티,2020.01.02, 
17:08, 화인베스틸,최대주주등소유주식변동신고서  ,화인베스틸,2020.01.02, 
17:07, 교보7호스팩,정정신고서제출요구  ( 2019.12.20. 제출 증권신고서(합병) ),금융감독원,2020.01.02,
17:05, 한화투자증권,투자설명서(일괄신고)  ,한화투자증권,2020.01.02,
17:02, 대림산업,[기재정정]특수관계인으로부터받은담보  ,대림산업,2020.01.02, 
17:01, 웰크론,[기재정정]최대주주변경을수반하는주식담보제공계약체결  ,웰크론,2020.01.02, 
17:01, 대림산업,[기재정정]특수관계인에대한자금대여  ,대림산업,2020.01.02, 
17:00, 한화투자증권,일괄신고추가서류(파생결합증권-주가연계증권)  ,한화투자증권,2020.01.02,
17:00, 키움증권,투자설명서(일괄신고)  ,키움증권,2020.01.02,
16:59, 키움증권,일괄신고추가서류(파생결합사채-주가연계파생결합사채)  ,키움증권,2020.01.02,
16:59, 보령제약,[연장결정]주요사항보고서(자기주식취득신탁계약체결결정)  ,보령제약,2020.01.02,
16:55, 유니드글로벌상사,타인에대한채무보증결정  ,유니드글로벌상사,2020.01.02,  
16:54, 퍼시스,최대주주등소유주식변동신고서  ,퍼시스,2020.01.02, 
16:54, 고려개발,[기재정정]특수관계인에대한담보제공  ,고려개발,2020.01.02, 
16:52, 고려개발,[기재정정]특수관계인으로부터자금차입  ,고려개발,2020.01.02, 
16:52, 코스맥스비티아이,주요사항보고서(자기주식취득결정)(자회사의 주요경영사항)  ,코스맥스비티아이,2020.01.02, 
16:51, 코스맥스비티아이,주요사항보고서(자기주식취득결정)  ,코스맥스비티아이,2020.01.02, 
16:51, 행복도시태양광발전소,임원의변동  ,행복도시태양광발전소,2020.01.02, 
16:45, 휴메딕스,[기재정정]현금ㆍ현물배당결정  ,휴메딕스,2020.01.02, 
16:45, 휴온스글로벌,[기재정정]현금ㆍ현물배당결정(자회사의 주요경영사항)  ,휴온스글로벌,2020.01.02, 
16:44, 인콘,신주인수권행사가액의조정  (제6회차),인콘,2020.01.02, 
16:44, 알이피,전환가액의조정  (제18회차),알이피,2020.01.02, 
16:42, 금호에이치티,[기재정정]주요사항보고서(전환사채권발행결정)  ,금호에이치티,2020.01.02, 
16:42, 코스맥스,주요사항보고서(자기주식취득결정)  ,코스맥스,2020.01.02,
16:41, 동원산업,합병등종료보고서  (영업양수도),동원산업,2020.01.02,
16:41, TCC스틸,대표이사(대표집행임원)변경(안내공시)  ,TCC스틸,2020.01.02, 
16:39, 유안타증권,최대주주등소유주식변동신고서  ,유안타증권,2020.01.02, 
16:39, 휠라코리아,합병등종료보고서  (분할),휠라코리아,2020.01.02,
16:38, 엘에이티,반기보고서 (2019.06)  ,엘에이티,2020.01.02,
16:37, 파수닷컴,합병등종료보고서  (합병),파수닷컴,2020.01.02,
16:35, 현대엔지니어링,임원의변동  ,현대엔지니어링,2020.01.02, 
16:35, 한솔홈데코,[기재정정]주식매수선택권부여에관한신고  ,한솔홈데코,2020.01.02,
16:33, 유안타증권,투자설명서(일괄신고)  ,유안타증권,2020.01.02,
16:31, 메리츠종금증권,투자설명서(일괄신고)  ,메리츠종금증권,2020.01.02,
16:31, 지스마트글로벌,[기재정정]주식명의개서정지(주주명부폐쇄)  ,지스마트글로벌,2020.01.02, 
16:29, 휴온스글로벌,[기재정정]현금ㆍ현물배당결정  ,휴온스글로벌,2020.01.02, 
16:29, 휴온스,[기재정정]현금ㆍ현물배당결정  ,휴온스,2020.01.02, 
16:29, 팍스넷,[기재정정]주요사항보고서(주권관련사채권양도결정)  ,팍스넷,2020.01.02, 
16:29, 지스마트글로벌,[기재정정]주주총회소집결의  ,지스마트글로벌,2020.01.02,  
16:29, 현진소재,[기재정정]전환청구권행사  ,현진소재,2020.01.02,  
16:28, 신한금융투자,투자설명서(일괄신고)  ,신한금융투자,2020.01.02,
16:27, 해태제과식품,합병등종료보고서  (분할),해태제과식품,2020.01.02,
16:27, 한솔홈데코,[기재정정]주식매수선택권부여에관한신고  ,한솔홈데코,2020.01.02,
16:26, 유안타증권,일괄신고추가서류(기타파생결합사채)  ,유안타증권,2020.01.02,
16:24, 한올바이오파마,최대주주등소유주식변동신고서  ,한올바이오파마,2020.01.02, 
16:24, 신한금융투자,일괄신고추가서류(파생결합증권-주가연계증권)  ,신한금융투자,2020.01.02,
16:24, 와이엠씨,[기재정정]주식매수선택권부여에관한신고  ,와이엠씨,2020.01.02,
16:23, 와이엠씨,[기재정정]주식매수선택권부여에관한신고  ,와이엠씨,2020.01.02,
